exporter,year,exports
Germany,2016,48602880000
Switzerland,2016,39949885000
Belgium,2016,26469018000
France,2016,22778385000
United States of America,2016,22533094000
United Kingdom,2016,21755868000
Ireland,2016,19765022000
Italy,2016,16642589000
Netherlands,2016,13581949000
India,2016,11612017000
Spain,2016,7485922000
Canada,2016,7366010000
Sweden,2016,5599983000
Austria,2016,5348028000
Israel,2016,3864880000
Singapore,2016,3856799000
Hungary,2016,3270412000
Japan,2016,2780102000
China,2016,2771973000
Denmark,2016,2672078000
Slovenia,2016,2479380000
Poland,2016,2361013000
Czech Republic,2016,1727222000
Australia,2016,1594860000
Panama,2016,1542220000
Mexico,2016,1234065000
"Hong Kong, China",2016,1210157000
Greece,2016,1064157000
Portugal,2016,959602000
Malta,2016,928054000
Brazil,2016,882027000
Bulgaria,2016,747964000
"Korea, Republic of",2016,737129000
Romania,2016,721250000
Argentina,2016,720536000
Finland,2016,638582000
Lithuania,2016,607293000
Croatia,2016,597384000
Turkey,2016,588035000
Norway,2016,511510000
Slovakia,2016,508265000
Jordan,2016,468278000
Indonesia,2016,442541000
Russian Federation,2016,420775000
Latvia,2016,406761000
United Arab Emirates,2016,384555000
Colombia,2016,383703000
"Taipei, Chinese",2016,379644000
Thailand,2016,319962000
South Africa,2016,316806000
Guatemala,2016,303839000
Saudi Arabia,2016,295515000
Cyprus,2016,269526000
Egypt,2016,216681000
Serbia,2016,215251000
Malaysia,2016,166333000
New Zealand,2016,155550000
Chile,2016,152156000
Costa Rica,2016,149946000
Belarus,2016,144820000
Pakistan,2016,136353000
El Salvador,2016,128621000
Georgia,2016,107423000
Ukraine,2016,107095000
Uruguay,2016,94268000
"Iran, Islamic Republic of",2016,92328000
Morocco,2016,89931000
Kenya,2016,88642000
Viet Nam,2016,85311000
Free Zones,2016,84580000
Luxembourg,2016,83680000
Ghana,2016,78255000
"Macedonia, The Former Yugoslav Republic of",2016,75939000
Iceland,2016,69256000
Estonia,2016,67993000
Bangladesh,2016,65497000
Bosnia and Herzegovina,2016,60755000
Philippines,2016,57306000
Dominican Republic,2016,54178000
"Moldova, Republic of",2016,48593000
Ecuador,2016,48397000
Lebanon,2016,44434000
Barbados,2016,43550000
Paraguay,2016,40252000
Oman,2016,37989000
Tunisia,2016,37960000
Peru,2016,32888000
Mauritius,2016,32502000
Uganda,2016,23954000
Kuwait,2016,22189000
Kazakhstan,2016,17193000
Senegal,2016,15862000
Cuba,2016,12625000
Montenegro,2016,10915000
"Palestine, State of",2016,9984000
Honduras,2016,9174000
Armenia,2016,8011000
"Venezuela, Bolivarian Republic of",2016,5737000
"Bonaire, Sint Eustatius and Saba",2016,5582000
Algeria,2016,5555000
Brunei Darussalam,2016,5438000
Albania,2016,4717000
Cªte d'Ivoire,2016,4499000
Curaçao,2016,3953000
Cambodia,2016,3923000
Sri Lanka,2016,3469000
Mali,2016,3389000
Jamaica,2016,3157000
Guyana,2016,3056000
Nicaragua,2016,3014000
"Bolivia, Plurinational State of",2016,2492000
Swaziland,2016,2391000
Botswana,2016,2306000
Suriname,2016,1882000
Uzbekistan,2016,1737000
Fiji,2016,1545000
"Korea, Democratic People's Republic of",2016,1388000
Zimbabwe,2016,1319000
"Tanzania, United Republic of",2016,1210000
Namibia,2016,1149000
Belize,2016,1136000
Togo,2016,969000
Niger,2016,967000
Trinidad and Tobago,2016,962000
Burkina Faso,2016,928000
Azerbaijan,2016,923000
United States Minor Outlying Islands,2016,889000
Nigeria,2016,835000
Dominica,2016,801000
Syrian Arab Republic,2016,652000
Burundi,2016,646000
Seychelles,2016,545000
Saint Lucia,2016,469000
Montserrat,2016,464000
Turks and Caicos Islands,2016,363000
British Indian Ocean Territory,2016,332000
Zambia,2016,299000
Cameroon,2016,288000
Kyrgyzstan,2016,286000
Nepal,2016,273000
Benin,2016,253000
Turkmenistan,2016,235000
Andorra,2016,211000
Djibouti,2016,207000
Malawi,2016,205000
Myanmar,2016,202000
Rwanda,2016,191000
Tokelau,2016,183000
Madagascar,2016,173000
"Congo, Democratic Republic of the",2016,162000
Eritrea,2016,152000
Mozambique,2016,133000
Bahamas,2016,122000
Iraq,2016,121000
Saint Helena,2016,107000
Angola,2016,104000
Mongolia,2016,84000
Vanuatu,2016,83000
Antigua and Barbuda,2016,76000
Grenada,2016,75000
Anguilla,2016,74000
Bahrain,2016,72000
Cabo Verde,2016,65000
Ship stores and bunkers,2016,58000
Faroe Islands,2016,56000
Equatorial Guinea,2016,55000
Ethiopia,2016,55000
French Polynesia,2016,55000
Nauru,2016,40000
Lesotho,2016,38000
Aruba,2016,37000
"Micronesia, Federated States of",2016,32000
New Caledonia,2016,31000
Sudan,2016,29000
Cayman Islands,2016,25000
Comoros,2016,22000
Gibraltar,2016,21000
Congo,2016,16000
British Virgin Islands,2016,16000
Tajikistan,2016,15000
Somalia,2016,10000
Yemen,2016,10000
Guinea,2016,10000
Saint Vincent and the Grenadines,2016,9000
Papua New Guinea,2016,8000
Haiti,2016,7000
Solomon Islands,2016,7000
Gabon,2016,5000
Saint Kitts and Nevis,2016,2000
Sierra Leone,2016,1000
Cook Islands,2016,1000
Guam,2016,1000
Liberia,2016,1000
"Libya, State of",2016,1000
Northern Mariana Islands,2016,1000
"Macao, China",2016,
Lao People's Democratic Republic,2016,
Greenland,2016,
Qatar,2016,
Palau,2016,
Samoa,2016,
